Colony,Nest,Coord,XREF,YREF,Trial
5,Circle,REF1,976,760,Aggn
6,Circle,REF1,922,984,Aggn
7,Circle,REF1,944,898,Aggn
8,Circle,REF1,904,988,Aggn
9,Circle,REF1,1064,990,Aggn
11,Circle,REF1,857.333,1000,Aggn
13,Circle,REF1,942.667,866.667,Aggn
17,Circle,REF1,944,1017.333,Aggn
18,Circle,REF1,916,1022.667,Aggn
20,Circle,REF1,994.667,1078.667,Aggn
5,Circle,REF1,357,426,Pre
6,Circle,REF1,312,419,Pre
7,Circle,REF1,334,459,Pre
8,Circle,REF1,942,900,Pre
9,Circle,REF1,1064,990,Pre
11,Circle,REF1,860,1004,Pre
13,Circle,REF1,816,1034.667,Pre
17,Circle,REF1,906.667,1078.667,Pre
18,Circle,REF1,916,1046.667,Pre
20,Circle,REF1,912,1036,Pre
5,Circle,REF2,988,412,Aggn
5,Circle,REF2,355,268,Pre
6,Circle,REF2,929.333,609.333,Aggn
6,Circle,REF2,314,250,Pre
7,Circle,REF2,941.333,450.667,Aggn
7,Circle,REF2,941.333,448,Pre
8,Circle,REF2,902.667,712,Aggn
8,Circle,REF2,330,332,Pre
9,Circle,REF2,1057.333,506.667,Aggn
9,Circle,REF2,1065.333,501.333,Pre
11,Circle,REF2,853.333,316,Aggn
11,Circle,REF2,850.667,317.333,Pre
13,Circle,REF2,929.333,484,Aggn
13,Circle,REF2,820,649.333,Pre
17,Circle,REF2,945.333,230.667,Aggn
17,Circle,REF2,888,301.333,Pre
18,Circle,REF2,904,570.667,Aggn
18,Circle,REF2,978.667,596,Pre
20,Circle,REF2,909.333,406.667,Aggn
20,Circle,REF2,992,468,Pre
