Colony,Nest,Trial,Coord,XREF,YREF
5,Tube,Aggn,REF1,357,419
5,Tube,Aggn,REF2,344,362
5,Tube,Aggn,REF3,303,329
5,Tube,Aggn,REF4,303,289
5,Tube,Aggn,REF5,426,291
5,Tube,Aggn,REF6,428,331
5,Tube,Aggn,REF7,380,333
5,Tube,Pre,REF1,1056,984
5,Tube,Pre,REF2,1034.667,844
5,Tube,Pre,REF3,904,786.667
5,Tube,Pre,REF4,905.333,694.667
5,Tube,Pre,REF5,1257.333,702.667
5,Tube,Pre,REF6,1254.667,792
5,Tube,Pre,REF7,1105.333,794.667
6,Tube,Aggn,REF1,950.667,941.333
6,Tube,Aggn,REF2,917.333,794.667
6,Tube,Aggn,REF3,785.333,734.667
6,Tube,Aggn,REF4,786.667,649.333
6,Tube,Aggn,REF5,1142.667,638.667
6,Tube,Aggn,REF6,1145.333,726.667
6,Tube,Aggn,REF7,994.667,732
6,Tube,Pre,REF1,351.367,427.338
6,Tube,Pre,REF2,344.46,360.863
6,Tube,Pre,REF3,290.935,336.691
6,Tube,Pre,REF4,290.935,290.072
6,Tube,Pre,REF5,431.655,290.935
6,Tube,Pre,REF6,431.655,340.144
6,Tube,Pre,REF7,370.36,338.417
7,Tube,Aggn,REF1,926.667,1029.333
7,Tube,Aggn,REF2,876,742.667
7,Tube,Aggn,REF3,642.667,654.667
7,Tube,Aggn,REF4,637.333,489.333
7,Tube,Aggn,REF5,1257.333,474.667
7,Tube,Aggn,REF6,1258.667,644
7,Tube,Aggn,REF7,1000,649.333
7,Tube,Pre,REF1,347,458
7,Tube,Pre,REF2,327,333
7,Tube,Pre,REF3,245,293
7,Tube,Pre,REF4,243,219
7,Tube,Pre,REF5,466,214
7,Tube,Pre,REF6,467,288
7,Tube,Pre,REF7,372,289
8,Tube,Aggn,REF1,896,1021.333
8,Tube,Aggn,REF2,870.667,882.667
8,Tube,Aggn,REF3,770.667,830.667
8,Tube,Aggn,REF4,766.667,760
8,Tube,Aggn,REF5,1052,749.333
8,Tube,Aggn,REF6,1054.667,837.333
8,Tube,Aggn,REF7,938.667,841.333
8,Tube,Pre,REF1,338,452
8,Tube,Pre,REF2,326.5,391.5
8,Tube,Pre,REF3,291,370
8,Tube,Pre,REF4,290,337.5
8,Tube,Pre,REF5,393.5,332
8,Tube,Pre,REF6,396,371.5
8,Tube,Pre,REF7,351.5,374
9,Tube,Aggn,REF1,872,1070.667
9,Tube,Aggn,REF2,828,842.667
9,Tube,Aggn,REF3,570.667,746.667
9,Tube,Aggn,REF4,569.333,558.667
9,Tube,Aggn,REF5,1249.333,561.333
9,Tube,Aggn,REF6,1248,753.333
9,Tube,Aggn,REF7,965.333,742.667
9,Tube,Pre,REF1,869.333,1072
9,Tube,Pre,REF2,822.667,844
9,Tube,Pre,REF3,570.667,742.667
9,Tube,Pre,REF4,570.667,554.667
9,Tube,Pre,REF5,1250.667,566.667
9,Tube,Pre,REF6,1245.333,754.667
9,Tube,Pre,REF7,961.333,752
11,Tube,Aggn,REF1,1030.667,1065.333
11,Tube,Aggn,REF2,969.333,714.667
11,Tube,Aggn,REF3,569.333,582.667
11,Tube,Aggn,REF4,573.333,298.667
11,Tube,Aggn,REF5,1578.667,304
11,Tube,Aggn,REF6,1586.667,585.333
11,Tube,Aggn,REF7,1157.333,584
11,Tube,Pre,REF1,900,1058
11,Tube,Pre,REF2,840,730
11,Tube,Pre,REF3,458,578
11,Tube,Pre,REF4,464,310
11,Tube,Pre,REF5,1462,332
11,Tube,Pre,REF6,1462,604
11,Tube,Pre,REF7,1028,604
13,Tube,Aggn,REF1,953.333,1008
13,Tube,Aggn,REF2,917.333,840
13,Tube,Aggn,REF3,752,768
13,Tube,Aggn,REF4,752,654.667
13,Tube,Aggn,REF5,1200,653.333
13,Tube,Aggn,REF6,1197.333,768
13,Tube,Aggn,REF7,1009.333,770.667
13,Tube,Pre,REF1,974.667,1009.333
13,Tube,Pre,REF2,940,826.667
13,Tube,Pre,REF3,762.667,746.667
13,Tube,Pre,REF4,761.333,629.333
