Colony,Nest,Trial,Coord,X,Y
5,Circle,Aggn,REF1,1091,648
5,Circle,Aggn,REF2,1117,617
5,Circle,Aggn,REF3,1120,587
5,Circle,Aggn,REF4,1125,557
5,Circle,Aggn,REF5,1121,528
5,Circle,Aggn,REF6,1117,500
5,Circle,Aggn,REF7,1100,464
5,Circle,Pre,REF1,401.333,369.333
5,Circle,Pre,REF2,409.667,354.667
5,Circle,Pre,REF3,413.667,343
5,Circle,Pre,REF4,414.333,330.667
5,Circle,Pre,REF5,414,318.667
5,Circle,Pre,REF6,412.333,307
5,Circle,Pre,REF7,407,292.667
5,Tube,Pre,REF1,1092,988
5,Tube,Pre,REF2,1028,780
5,Tube,Pre,REF3,914.667,850.667
5,Tube,Pre,REF4,828,696
5,Tube,Pre,REF5,1001.333,625.333
5,Tube,Pre,REF6,1156,626.667
5,Tube,Pre,REF7,1336,690.667
5,Tube,Pre,REF8,1254.667,869.333
5,Tube,Pre,REF9,1104,790.667
5,Tube,Aggn,REF1,373,421
5,Tube,Aggn,REF2,346,323
5,Tube,Aggn,REF3,306,373
5,Tube,Aggn,REF4,268,297
5,Tube,Aggn,REF5,334,257
5,Tube,Aggn,REF6,399,259
5,Tube,Aggn,REF7,475,299
5,Tube,Aggn,REF8,429,377
5,Tube,Aggn,REF9,377,322
6,Circle,Aggn,REF1,1060,866
6,Circle,Aggn,REF2,1078,832
6,Circle,Aggn,REF3,1090,800
6,Circle,Aggn,REF4,1092,768
6,Circle,Aggn,REF5,1088,738
6,Circle,Aggn,REF6,1080,708
6,Circle,Aggn,REF7,1056,666
6,Circle,Pre,REF1,360.5,363
6,Circle,Pre,REF2,372.5,348.5
6,Circle,Pre,REF3,375.5,334.5
6,Circle,Pre,REF4,375.5,322
6,Circle,Pre,REF5,375.5,309
6,Circle,Pre,REF6,372,294.5
6,Circle,Pre,REF7,365,280
6,Tube,Aggn,REF1,986,940
6,Tube,Aggn,REF2,914,720
6,Tube,Aggn,REF3,790,808
6,Tube,Aggn,REF4,692,640
6,Tube,Aggn,REF5,884,548
6,Tube,Aggn,REF6,1050,548
6,Tube,Aggn,REF7,1236,642
6,Tube,Aggn,REF8,1148,822
6,Tube,Aggn,REF9,984,740
6,Tube,Pre,REF1,366.043,435.971
6,Tube,Pre,REF2,336.691,328.921
6,Tube,Pre,REF3,305,373.813
6,Tube,Pre,REF4,254.676,294.388
6,Tube,Pre,REF5,321.151,255.54
6,Tube,Pre,REF6,389.353,256.403
6,Tube,Pre,REF7,465.324,299.568
6,Tube,Pre,REF8,429.928,376.403
6,Tube,Pre,REF9,369.496,333.237
7,Circle,Aggn,REF1,1113,785
7,Circle,Aggn,REF2,1146,740
7,Circle,Aggn,REF3,1161,696
7,Circle,Aggn,REF4,1162,656
7,Circle,Aggn,REF5,1160,616
7,Circle,Aggn,REF6,1145,575
7,Circle,Aggn,REF7,1123,529
7,Circle,Pre,REF1,1118,781
7,Circle,Pre,REF2,1141,737
7,Circle,Pre,REF3,1158,695
7,Circle,Pre,REF4,1159,654
7,Circle,Pre,REF5,1155,616
7,Circle,Pre,REF6,1147,575
7,Circle,Pre,REF7,1124,528
7,Tube,Aggn,REF1,980,1026
7,Tube,Aggn,REF2,860,638
7,Tube,Aggn,REF3,650,762
7,Tube,Aggn,REF4,528,500
7,Tube,Aggn,REF5,824,368
7,Tube,Aggn,REF6,1084,370
7,Tube,Aggn,REF7,1376,476
7,Tube,Aggn,REF8,1258,760
7,Tube,Aggn,REF9,990,650
7,Tube,Pre,REF1,370,459
7,Tube,Pre,REF2,326,284
7,Tube,Pre,REF3,247,337
7,Tube,Pre,REF4,198,223
7,Tube,Pre,REF5,307,171
7,Tube,Pre,REF6,403,168
7,Tube,Pre,REF7,513,216
