Colony,Nest,Trial,Nest.Numb,Assay,Inv.Insert,Inv.Remov,Density,Attacking.Max,Attack.Remov,Distance,MaxDist,ScaledDist
1,Circle,Aggn,2,2,4,900,High,6,0,1.77,2.773992906,0.638069404
1,Circle,Aggn,2,4,4,11,High,0,0,0.231,2.773992906,0.083273465
1,Circle,Aggn,2,5,12,39,High,3,0,0.242,2.773992906,0.087238868
2,Tube,Aggn,2,2,7,82,High,3,3,0.49,5.818,0.084221382
2,Tube,Aggn,2,3,15,72,High,2,0,0.175,5.818,0.030079065
3,Tube,Aggn,2,2,7,30,High,1,0,1.044,11.89,0.087804878
3,Tube,Aggn,2,4,16,28,High,2,0,0.37,11.89,0.031118587
4,Circle,Aggn,2,2,25,35,High,0,0,0.156,2.243972822,0.069519559
4,Circle,Aggn,2,3,7,138,High,2,0,1.437,2.243972822,0.640382087
4,Circle,Aggn,2,4,7,900,High,3,0,2.117,2.243972822,0.943416061
4,Circle,Aggn,2,5,18,202,High,4,3,0.657,2.243972822,0.292784295
5,Circle,Aggn,1,4,9,45,High,4,1,0.1546,1.8815,0.082168483
5,Tube,Aggn,2,1,7,261,High,1,1,0.7877,5.288,0.148959909
5,Tube,Aggn,2,2,7,900,High,0,0,0.8526,5.288,0.16123298
5,Tube,Aggn,2,3,16,32,High,1,1,0.3168,5.288,0.059909228
6,Circle,Aggn,1,1,7,11,High,0,0,0.2039,1.8815,0.108370981
6,Circle,Aggn,1,3,6,23,High,2,0,0.1839,1.8815,0.097741164
6,Circle,Aggn,1,4,3,33,High,2,1,0.2339,1.8815,0.124315706
6,Circle,Aggn,1,5,15,21,High,1,0,0.196,1.8815,0.104172203
6,Tube,Aggn,2,2,10,48,High,1,1,1.7987,5.288,0.340147504
6,Tube,Aggn,2,3,40,55,High,0,0,0.2374,5.288,0.0448941
6,Tube,Aggn,2,4,7,38,High,0,0,1.571,5.288,0.297087746
6,Tube,Aggn,2,5,0,14,High,0,0,1.009,5.288,0.19080938
7,Circle,Aggn,1,3,8,40,High,4,1,1.686,2.27471098,0.741193064
7,Circle,Aggn,1,4,8,16,High,1,1,0.2234,2.27471098,0.098210279
7,Circle,Aggn,1,5,5,151,High,5,2,0.911,2.27471098,0.400490439
7,Tube,Aggn,2,1,8,12,High,0,0,0.253,8.995,0.028126737
7,Tube,Aggn,2,2,9,15,High,0,0,0.1367,8.995,0.015197332
7,Tube,Aggn,2,4,7,16,High,1,1,0.0291,8.995,0.003235131
7,Tube,Aggn,2,5,6,294,High,3,2,0.77,8.995,0.085603113
8,Circle,Aggn,2,1,0,156,High,1,1,1.1667,1.5441,0.755585778
