"id","id_3","id_4","id_5","id_6","id_8","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_28","id_29","id_30","id_31","id_32","id_58","id_456","id_627","id_986","id_1065","id_1066","id_1068","id_1069","id_1070","id_1071","id_1072","id_1074","id_1075","id_1076","id_1077","id_1078","id_1079","id_1080","id_1081","id_1082","id_1083","id_1084","id_1085","id_1086","id_1087","id_1088","id_1089","id_1090","id_1091","id_1092","id_1093","id_1094","id_1095","id_1096","id_1097"
"id_3",0,3872,283,291,426,138,988,430,0,2095,500,0,71,0,0,0,0,254,0,0,0,740,142,303,1601,4029,0,0,261,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,308,0,0,392,0,240,172,317,0,412,1986,1988
"id_4",3177,0,1458,1984,638,841,463,2099,675,2530,401,0,108,0,0,0,0,0,0,567,0,75,260,72,2941,4187,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,237,191,0,227,1082,3368
"id_5",533,1446,0,2508,588,160,2844,770,0,96,844,0,93,0,0,0,0,1361,0,0,0,362,5,23,42,406,0,0,250,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,128,0,0,318,0,1086,288,472,0,412,638,44
"id_6",355,1852,2011,0,543,1968,3878,737,334,646,1175,0,147,111,0,0,0,369,0,1324,0,49,747,247,648,664,17,0,0,0,154,0,0,0,0,25,37,0,0,0,0,0,147,0,180,0,0,0,0,111,0,0,336,0,0,0,0,0,0,1196,479
"id_8",181,645,825,286,0,1086,486,831,163,701,765,0,86,0,0,0,0,0,0,802,0,806,1454,1372,1079,920,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,404,3015,1035
"id_10",109,892,261,1373,781,0,1031,1242,432,1131,849,0,108,360,0,0,0,0,0,3351,0,3462,1751,752,1068,1517,20,0,0,0,3163,0,0,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,423
"id_11",1077,842,2777,3375,276,1228,0,1376,0,391,1009,0,150,537,0,0,0,939,0,0,0,239,0,33,227,254,0,0,346,0,1206,0,0,0,0,63,0,0,0,0,0,0,386,0,244,0,42,0,55,699,0,0,172,0,765,144,159,0,397,324,93
"id_12",373,1295,1203,710,847,1992,1698,0,0,2420,1394,0,100,605,67,0,0,244,0,0,0,1507,2938,3406,2971,1120,64,0,17,0,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,235,0,414,189,155,0,112,162,2745
"id_13",0,792,0,232,251,242,0,0,0,0,433,0,0,166,0,0,0,151,0,1089,0,330,48,0,0,121,0,0,0,0,13,0,0,0,0,150,0,0,0,0,0,0,8,0,23,0,150,243,58,0,0,0,0,0,0,0,0,0,0,1469,0
"id_14",2412,1930,159,900,557,1763,686,2509,0,0,651,0,78,520,62,0,0,0,1,297,0,833,1957,2467,2674,2900,62,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,175,30,0,0,1598,2725
"id_15",372,435,795,823,745,863,951,1319,251,795,0,156,394,1205,267,36,0,1935,40,318,0,986,582,603,608,275,187,0,0,157,904,9,0,0,0,0,552,0,0,0,0,0,1375,140,1338,167,623,199,1337,1214,531,173,171,0,306,0,716,0,75,482,593
"id_16",0,0,0,0,0,0,0,0,0,10,104,0,245,12,233,179,0,216,413,0,80,0,0,0,0,0,62,0,0,0,0,140,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_17",68,139,92,149,91,147,171,75,0,92,324,379,0,162,414,87,0,240,253,0,1,0,0,6,21,46,248,0,0,0,0,103,0,0,189,73,36,0,0,0,118,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,36
"id_18",0,25,0,43,0,399,472,397,0,588,821,105,419,0,163,0,0,934,165,0,0,0,0,0,0,0,520,0,0,0,0,0,111,71,9,474,769,164,97,0,0,300,120,479,165,187,147,75,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_19",0,0,0,0,0,0,0,0,0,76,158,425,401,113,0,18,0,281,295,0,0,0,0,0,0,0,86,0,0,0,0,183,83,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_20",0,0,0,0,0,0,0,0,0,0,0,57,35,0,0,0,0,148,122,0,178,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_22",168,0,1119,240,0,0,672,67,107,0,1688,131,93,1048,211,131,34,0,294,0,167,19,0,0,0,120,923,0,918,0,567,178,206,161,401,344,417,201,97,29,197,538,676,436,1632,248,558,471,3065,2754,567,132,660,0,2426,439,1281,0,287,0,0
"id_23",0,0,0,0,0,0,0,0,0,92,74,352,191,180,221,172,0,308,0,0,139,0,0,0,0,0,27,0,0,0,0,85,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_24",21,247,0,707,859,3182,0,0,1117,486,366,0,0,0,0,0,0,0,0,0,0,4150,3003,1159,945,1105,0,0,0,0,4339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0
"id_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,33,178,63,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_28",725,183,376,57,1090,3433,307,573,307,524,568,0,0,0,0,0,0,81,0,4538,0,0,5586,1794,821,576,0,0,0,0,5372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,406,231,903
"id_29",56,260,0,462,1428,4492,0,1308,44,1055,339,0,0,0,0,0,0,0,0,1195,0,5516,0,7200,1574,1218,0,0,0,0,5179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,893
"id_30",770,175,33,220,1456,451,74,3594,0,3013,620,0,8,0,0,0,0,0,0,0,0,725,5667,0,6414,3063,0,0,0,0,2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,83,179,7026
"id_31",3222,3115,16,539,1008,1580,278,2717,3,3101,727,0,26,0,0,0,0,0,0,916,0,737,1628,2995,0,5641,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,230,66,0,0,983,6837
"id_32",1893,3776,429,211,923,1643,286,1678,0,4381,305,0,33,0,0,0,0,151,0,1049,0,384,1273,2857,4243,0,0,0,113,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,207,115,159,0,0,1208,3912
"id_58",0,0,0,5,0,27,24,34,0,71,37,62,307,412,117,0,0,956,44,0,0,0,0,0,0,0,0,0,0,0,0,81,104,175,403,279,127,144,0,0,191,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,68,0,0,0,0,0,0,0,0,0,0,0
"id_627",110,0,178,0,0,0,52,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,88,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,646,0,0,233,0,891,161,771,87,32,0,0
"id_986",0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,159,0,77,0,0
"id_1065",1091,393,1053,205,447,3108,1092,558,8,218,928,0,0,0,0,0,0,558,0,4319,0,5312,5208,2078,521,136,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,244,0,0,221,0,614,98,79,0,526,171,395
"id_1066",0,0,0,0,0,0,0,0,0,0,0,135,16,0,91,77,0,182,99,0,71,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
